inception_date,currency,risk_classification,min_initial_participation,remarks,min_additional_participation,min_maintaining_balance,min_holding_period,cutoff_time_for_participationredemption,settlement_date,trust_fee_structure,early_redemption_fee,benchmark,fund_name,classification,navpu,bank,url
"Jan 16, 2017",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.00% p.a.,None,BPI Philippine Infrastructure Equity Index									,BPI PHILIPPINE INFRASTRUCTURE EQUITY INDEX FUND,Equity Index Tracker Fund,120.33,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=292&bank_id=3
"May 20, 2013",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.00% p.a.,None,Philippine Stock Exchange index (PSEi)																						,BPI PHILIPPINE EQUITY INDEX FUND,Equity Index Tracker Fund,88.11,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=69&bank_id=3
"Dec 22, 2016",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a. ,1.00% of the Original Participation Amount ,PSEi 												,BDO PERA EQUITY INDEX FUND,Equity Index Tracker Fund,92.1694,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=291&bank_id=6
"Jul 10, 2015",PHP,Balanced,"PHP 10,000.00",,"PHP 10,000.00","PHP 10,000.00",30 calendar days,02:30 PM,Three (3) banking days after notice of redemption is received (T + 3),1.00% p.a.,0.50% of the Original Participation Amount,PSEi						,BDO EQUITY INDEX FUND,Equity Index Tracker Fund,85.1881,"BDO Unibank, Inc.",https://www.uitf.com.ph/daily_navpu_details.php?fund_id=258&bank_id=6
"Mar 1, 2016",PHP,Aggressive,PHP 1.00,,PHP 1.00,PHP 0.00,0 calendar days,03:00 PM,Subscription: T + 0 business days; Redemption: T + 3 business days,1.50% p.a.,none,Philippine Stock Exchange index										,ATRAM Philippine Equity Smart Index Fund,Equity Index Tracker Fund,94.343154,ATRAM Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=271&bank_id=31
"Nov 15, 2018",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI Asia ex Japan Index								,Manulife Asia Best Select Equity Fund (USD Class I),Equity Fund,1.2362,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=351&bank_id=39
"Jun 18, 2018",USD,Aggressive,USD 100.00,,USD 100.00,USD 100.00,0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI Asia ex Japan Index										,Manulife Asia Best Select Equity Fund (USD Class A),Equity Fund,0.9646,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=329&bank_id=39
"Dec 15, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,N/A,N/A,MSCI Asia ex Japan Index			,Manulife Asia Best Select Equity Fund (PHP Unhedged Class I),Equity Fund,55.8949,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=470&bank_id=39
"Jun 18, 2018",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+6 business days,1.75% as a % p.a. of the NAV,N/A,MSCI Asia ex Japan Index								,Manulife Asia Best Select Equity Fund (PHP Unhedged Class A),Equity Fund,54.8119,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=330&bank_id=39
"Sep 18, 2017",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,1.50% as a % p.a. of the NAV,N/A,Philippine Stock Exchange Index (PSEi)																					,Manulife Equity Wealth Fund (Class A),Equity Fund,0.7616,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=315&bank_id=39
"Sep 18, 2017",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",0 calendar days,02:00 PM,T+3 Banking Days,N/A,N/A,Philippine Stock Exchange Index 										,Manulife Equity Wealth Fund (Class I),Equity Fund,0.8489,Manulife Investment Management and Trust Corporation,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=316&bank_id=39
"Apr 8, 2014",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,1.5%,5%,"			Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net).					",LANDBANK High Dividend Equity Fund,Equity Fund,0.879477,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=467&bank_id=9
"Jan 15, 2007",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,1.75%,5%,"		Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net)		",LANDBANK Alpha Equity Fund,Equity Fund,3.139149,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=461&bank_id=9
"Sep 30, 2022",PHP,Aggressive,"PHP 1,000.00",,"PHP 1,000.00","PHP 1,000.00",30 calendar days,01:30 PM,T+3,.75%,5%,"		Philippine
Stock
Exchange
Index and
30-Day
Average
Special
Savings Rate
(net).				",LANDBANK Blue Chip Equity Fund,Equity Fund,0.974759,LandBank of the Philippines,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=464&bank_id=9
"Aug 16, 2013",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+0; Redemption: T+2 (end of day),1.50% p.a.,None,Philippine Stock Exchange index (PSEi)				,BPI PHILIPPINE HIGH DIVIDEND EQUITY FUND,Equity Fund,119.35,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=189&bank_id=3
"Feb 1, 2007",PHP,Aggressive,"PHP 1,000.00",,PHP 0.00,"PHP 1,000.00",0 calendar days,02:00 PM,Subscription: T+1; Redemption: T+2 (end of day),1.50% p.a.,None,Philippine Stock Exchange Index (PSEi)								,ODYSSEY PHILIPPINE HIGH CONVICTION EQUITY FUND,Equity Fund,111.31,BPI WEALTH,https://www.uitf.com.ph/daily_navpu_details.php?fund_id=64&bank_id=3
